geometry,source,diamond_um,pitch_um,ribbon_width_nm,graphene_layers,network_depth_fraction,mean_carrier_travel_um,graphene_interface_area_ratio,added_trap_density_cm3,interface_loss_fraction,trap_penalty_fraction,carrier_survival_fraction,collection_efficiency,current_density_A_cm2,voltage_V,power_density_W_cm2,net_power_ratio_vs_baseline,lifetime_years,manufacturability_score,geometry_departure_score,dominant_loss,dominant_loss_fraction
random_percolating_nanoribbons,Ni63,20.0,2.0,100.0,1,0.75,2.53955,42.14,164428250000000.0,0.2462697438629579,0.08114392401585052,0.782480545510952,0.0969654369175802,2.0315752882262427e-09,0.20315752882262428,4.127298151731541e-10,1.0587972556453003,0.0009328954569916518,0.07999999999999996,6.982799999999999,geometric_occlusion,0.5233
random_percolating_nanoribbons,Ni63,20.0,2.0,100.0,2,0.75,3.3190543025489903,66.12474777073815,253676850654211.44,0.26621258679033233,0.08270708516149737,0.684997385841142,0.019587863203201245,4.103959111389817e-10,0.04103959111389817,1.6842480387959498e-11,0.04320689070051762,0.0009687742284836179,0.009999999999999953,7.6004848541469965,geometric_occlusion,0.8877104084596509
random_percolating_nanoribbons,Ni63,20.0,6.0,25.0,1,0.75,2.3755541666666664,14.011666666666665,47696104166666.664,0.21201344472464204,0.07906161963253047,0.8086337590149532,0.19565957173309764,4.099369460643593e-09,0.4099369460643593,1.6804829974857344e-09,4.31103041380718,0.0008787131891569688,0.14262380952380954,6.2919,graphene_diamond_interface,0.21201344472464204
random_percolating_nanoribbons,Ni63,20.0,6.0,25.0,2,0.75,2.7543664309111806,21.986661703393278,74481648910272.97,0.22632698954841834,0.07954327454478008,0.758664182881957,0.15534414256576418,3.2546991096998053e-09,0.3254699109699805,1.0593066294680706e-09,2.717494377519397,0.0008869638095127677,0.0,6.5362323922955525,carrier_travel_recombination,0.24133581711804297
random_percolating_nanoribbons,Ni63,20.0,6.0,100.0,1,0.75,2.3772166666666665,14.046666666666665,54809416666666.664,0.2096618843374064,0.0791897560658309,0.8081410195680809,0.19737294756579044,4.135267323962679e-09,0.4135267323962679,1.7100435840633457e-09,4.386863723621518,0.0008862943515378673,0.19906666666666667,6.3276,graphene_diamond_interface,0.2096618843374064
random_percolating_nanoribbons,Ni63,20.0,6.0,100.0,2,0.75,2.756975173036687,22.041582590246048,84558950218070.48,0.2229747268761093,0.07972388629984149,0.7579254696790323,0.15655525995154454,3.280073884777485e-09,0.3280073884777485,1.0758884689599264e-09,2.7600326325765514,0.0008978022876786325,0.009999999999999953,6.586828284715666,carrier_travel_recombination,0.2420745303209677
multilayer_3d_mesh,Ni63,20.0,2.0,25.0,1,0.75,2.4806962499999994,49.54125,198983812500000.03,0.26133340938955557,0.08175208344648649,0.7888885720470904,0.07343254964757077,1.5385250451896217e-09,0.15385250451896215,2.367059314675727e-10,0.6072340340318895,0.0009258875049992159,0.0,8.032074999999999,geometric_occlusion,0.6264187499999999
multilayer_3d_mesh,Ni63,20.0,2.0,25.0,2,0.75,3.2984180625157893,77.7385538798548,310960694327019.1,0.2849034113204056,0.08369750978867009,0.6848885934576847,0.0,0.0,0.0,0.0,0.0,0.000960290257090043,0.0,8.693107387044986,geometric_occlusion,1.0
multilayer_3d_mesh,Ni63,20.0,2.0,100.0,1,0.75,2.4842850000000003,49.665,224210250000000.03,0.2513273010384336,0.08219371147758407,0.7874515741627559,0.07433403840445334,1.557412623478503e-09,0.1557412623478503,2.4255340797701933e-10,0.6222348695737924,0.000954385481472726,0.0,8.1583,geometric_occlusion,0.6381749999999999
multilayer_3d_mesh,Ni63,20.0,2.0,100.0,2,0.75,3.3040494148784436,77.93273844408425,346710090568036.56,0.2706903939531536,0.08431058511338246,0.6827982244770034,0.0,0.0,0.0,0.0,0.0,0.0010022627484958184,0.0,8.872000006673245,geometric_occlusion,1.0
multilayer_3d_mesh,Ni63,20.0,6.0,25.0,1,0.75,1.9430087499999997,16.513749999999998,66327937500000.0,0.2167136755505036,0.07939689998917338,0.866966119509259,0.19858052784505195,4.160567991209528e-09,0.4160567991209528,1.7310326009477287e-09,4.440707940004467,0.0008842467559723589,0.0,7.344025,graphene_diamond_interface,0.2167136755505036
multilayer_3d_mesh,Ni63,20.0,6.0,25.0,2,0.75,2.2907754978515427,25.912851293284934,103653564775673.02,0.23250236902237165,0.08006522095233577,0.8179203750888662,0.1538943299394808,3.2243233016000664e-09,0.32243233016000666,1.0396260753241153e-09,2.667006828640825,0.0008955909416994546,0.0,7.617702462348328,geometric_occlusion,0.2702484043178844
multilayer_3d_mesh,Ni63,20.0,6.0,100.0,1,0.75,1.944535,16.555,74736750000000.02,0.2134500041924131,0.0795478506462356,0.866484443620605,0.2006050441550251,4.202984726870178e-09,0.42029847268701775,1.7665080614303981e-09,4.531714983404143,0.0008932438400674584,0.0,7.3861,graphene_diamond_interface,0.2134500041924131
multilayer_3d_mesh,Ni63,20.0,6.0,100.0,2,0.75,2.293170440810372,25.977579481361417,115570030189345.52,0.22785346917533214,0.08027765026917821,0.8171566780081971,0.1558948075005194,3.266236388436478e-09,0.3266236388436478,1.0668300145146568e-09,2.736794508374122,0.0009084954217760375,0.0,7.677333335557749,geometric_occlusion,0.2758862318948629
