geometry,source,diamond_um,pitch_um,ribbon_width_nm,graphene_layers,network_depth_fraction,mean_carrier_travel_um,graphene_interface_area_ratio,added_trap_density_cm3,interface_loss_fraction,trap_penalty_fraction,carrier_survival_fraction,collection_efficiency,current_density_A_cm2,voltage_V,power_density_W_cm2,net_power_ratio_vs_baseline,lifetime_years,manufacturability_score,geometry_departure_score,dominant_loss,dominant_loss_fraction
straight_fingers,Ni63,8.0,1.5,15.0,2,0.35,1.4655871864522119,5.87391961292034,24672065685293.707,0.2127176336962014,0.07864575002535024,0.9319639436959428,0.11622633164996012,2.435120706174394e-09,0.2435120706174394,5.929812853639279e-10,1.957351882972058,0.0007613694881726513,0.5769750895850823,1.211620527882138,graphene_diamond_interface,0.2127176336962014
straight_fingers,Ni63,8.0,1.5,15.0,2,0.65,1.0785909303075696,10.895257839459546,43345167215236.375,0.2343141962783128,0.07898316292038682,0.9738479133726214,0.11265153940231802,2.3602233012668554e-09,0.23602233012668555,5.570654031843014e-10,1.8387983613887424,0.0007659194471621334,0.5267617073196902,1.312047292412922,graphene_diamond_interface,0.2343141962783128
straight_fingers,Ni63,8.0,1.5,15.0,2,0.9,0.6640361827004821,15.079706361575548,58906085156855.26,0.24884946056471297,0.07926347771852285,0.9972812074430825,0.10547881951756344,2.2099437694000273e-09,0.22099437694000273,4.883851463910001e-10,1.6120940230302923,0.0007697110796533685,0.48491722209853017,1.395736262855242,graphene_diamond_interface,0.24884946056471297
straight_fingers,Ni63,8.0,1.5,15.0,4,0.35,1.5826008744434794,9.217167841242272,38276342909619.7,0.227240966676923,0.07889168386220419,0.9166660769474836,0.10924059082650578,2.2887586737014607e-09,0.22887586737014606,5.238416266443669e-10,1.729131120322319,0.0007654935663962834,0.40354260730186287,1.4443433568248454,graphene_diamond_interface,0.227240966676923
straight_fingers,Ni63,8.0,1.5,15.0,4,0.65,1.2212193179929438,17.09649208664974,67577579947228.71,0.2545533793923254,0.07941934730570417,0.9595984600519009,0.096563510151931,2.023154303278135e-09,0.20231543032781352,4.093153334872836e-10,1.3510951500585204,0.0007726407726932747,0.3247493648477882,1.6019298417329948,graphene_diamond_interface,0.2545533793923254
straight_fingers,Ni63,8.0,1.5,15.0,4,0.9,0.7756137431183608,23.66259562448929,91995277478569.53,0.2715321612251557,0.07985695629201098,0.9935114802238033,0.08636429233205786,1.8094649770525106e-09,0.18094649770525106,3.2741635031796426e-10,1.0807575645787681,0.0007785967779407674,0.2957142857142856,1.7332519124897858,graphene_diamond_interface,0.2715321612251557
straight_fingers,Ni63,8.0,1.5,30.0,1,0.35,1.4,3.753333333333333,17957708333333.336,0.2013764201405305,0.07852414816067932,0.9401506390802085,0.12012369885361668,2.5167765533689174e-09,0.25167765533689174,6.334164219587527e-10,2.0908228587104216,0.0007605374113778623,0.7538952380952381,1.0950666666666666,graphene_diamond_interface,0.2013764201405305
straight_fingers,Ni63,8.0,1.5,30.0,1,0.65,0.9879266666666666,6.953333333333333,29857708333333.336,0.21739225140916557,0.07873956534746805,0.9814023362294084,0.12265202298551639,2.5697488390644843e-09,0.2569748839064484,6.603609095873264e-10,2.179763007239963,0.000763440079098854,0.721895238095238,1.1590666666666667,graphene_diamond_interface,0.21739225140916557
straight_fingers,Ni63,8.0,1.5,30.0,1,0.9,0.59306,9.62,39774374999999.99,0.22888297764585389,0.07891872810036156,0.9986796250703636,0.11980000754708736,2.5099947218187992e-09,0.2509994721818799,6.300073503558231e-10,2.0795699694778627,0.0007658589688663471,0.6952285714285713,1.2124,graphene_diamond_interface,0.22888297764585389
straight_fingers,Ni63,8.0,1.5,30.0,2,0.35,1.4661363953207396,5.889611294878275,27558846252320.973,0.21175737105496262,0.07869798659798459,0.9318313822496802,0.11708045462632807,2.4530158983898464e-09,0.24530158983898465,6.017286997753346e-10,1.9862259275530698,0.0007640227399927509,0.6625324584797886,1.2260764971450273,graphene_diamond_interface,0.21175737105496262
