case_id,architecture,loss_channel,loss_fraction
18,graded_interface,thermal_effects,0.0
18,graded_interface,interface:band_alignment_mismatch,0.27999604220227986
18,graded_interface,interface:interface_trap_states,0.010059880239520959
18,graded_interface,interface:carrier_scattering,0.0034999999999999996
18,graded_interface,interface:contact_resistance,0.03584003330613286
18,graded_interface,interface:surface_recombination_velocity,9.967284390171554e-06
19,composite_layer,interface_losses,0.12323797181393237
19,composite_layer,bulk_recombination,0.24111882092564763
19,composite_layer,trap_density,0.2795846565410563
19,composite_layer,carrier_mobility,0.0
19,composite_layer,thermal_effects,0.0
19,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
19,composite_layer,interface:interface_trap_states,0.010059880239520959
19,composite_layer,interface:carrier_scattering,0.004
19,composite_layer,interface:contact_resistance,0.03210522081971587
19,composite_layer,interface:surface_recombination_velocity,2.761702300461894e-06
19,composite_layer,interface:composite_percolation_disorder,0.0
20,composite_layer,interface_losses,0.12323797181393237
20,composite_layer,bulk_recombination,0.24111882092564763
20,composite_layer,trap_density,0.2795846565410563
20,composite_layer,carrier_mobility,0.0
20,composite_layer,thermal_effects,0.0
20,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
20,composite_layer,interface:interface_trap_states,0.010059880239520959
20,composite_layer,interface:carrier_scattering,0.004
20,composite_layer,interface:contact_resistance,0.03210522081971587
20,composite_layer,interface:surface_recombination_velocity,2.761702300461894e-06
20,composite_layer,interface:composite_percolation_disorder,0.0
21,composite_layer,interface_losses,0.12323797181393237
21,composite_layer,bulk_recombination,0.24111882092564763
21,composite_layer,trap_density,0.2795846565410563
21,composite_layer,carrier_mobility,0.0
21,composite_layer,thermal_effects,0.0
21,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
21,composite_layer,interface:interface_trap_states,0.010059880239520959
21,composite_layer,interface:carrier_scattering,0.004
21,composite_layer,interface:contact_resistance,0.03210522081971587
21,composite_layer,interface:surface_recombination_velocity,2.761702300461894e-06
21,composite_layer,interface:composite_percolation_disorder,0.0
22,composite_layer,interface_losses,0.29859376906859136
22,composite_layer,bulk_recombination,0.9414566427782927
22,composite_layer,trap_density,0.27886001330816296
22,composite_layer,carrier_mobility,0.09854309013512516
22,composite_layer,thermal_effects,0.0
22,composite_layer,interface:band_alignment_mismatch,0.08127291320704487
22,composite_layer,interface:interface_trap_states,0.010059880239520959
22,composite_layer,interface:carrier_scattering,0.004
22,composite_layer,interface:contact_resistance,0.03210522081971587
